categorie,nom_contractant ,description,montant_transaction,arrondissement,numero_decision-resolution,numero_acte_notarie,
Acquisition de gré à gré - sans bâtiment,Hydro Québec,"Approuver un projet d'acte par lequel la Ville achète, de gré à gré, d'Hydro-Québec, deux terrains dans le projet du Secteur l'Assomption-Longue-Pointe, d'une superficie totale de 52 322 mètres carrés, pour la prolongation du boulevard de l'Assomption et à des fins de réserve foncière, lesquels sont connus et désignés comme étant une partie du lot 5 566 588 et le 6 231 028 du cadastre du Québec, dans l'arrondissement de  Mercier-Hochelaga-Maisonneuve pour un montant de 26 056 816 $, en plus des taxes applicables. N/Réf:31H12-005-2274-02. Mandat 22-0396-T","26 056 816,00 $",Mercier - Hochelaga-Maisonneuve,CM23 0036,28365192,
Emphytéose - modification/création,Office Municipal D’Habitation De Montréal,"Approuver un projet d'acte modifiant l'emphytéose entre la Ville de Montréal et l’Office municipal d’habitation de Montréal pour l’immeuble connu et désigné comme étant le lot 4 142 196 du cadastre du Québec, d'une superficie de 3931,5 mètres carrés, sur lequel sont érigées deux bâtisses sises au 2230 avenue Lionel-Groulx et au 2235 à 2247 rue Delisle, dans l'arrondissement Le Sud-Ouest, afin de prolonger la durée de l'emphytéose d'une période additionnelle de deux ans, soit du 1er mars 2023 au 28 février 2025, moyennant une rente annuelle de 5 520 $. -  La rente annuelle consentie représente une subvention totale de 1 280 000 $ pour la période de la prolongation. Référence : 31H05-005-7669-05","5 520,00 $",Le Sud-Ouest,CG23 0066,27876065,
"Demande d'intervention, de permission et d'autorisation d'effectuer des travaux",Bell Canada,Approuver une entente par laquelle la Ville de Montréal permet à Bell d'occuper une partie des lots 5 553 294 et 5 553 295 du cadastre du Québec pour l'installation et la présence...,"0,00 $",Montréal-Est,CE23 0578,non applicable,
Acquisition de gré à gré - avec bâtiment,Immeubles Sterling,"Approuver un acte par lequel la Ville de Montréal achète de Société en commandite Immeubles Sterling / Sterling Properties Limited Partnership, un immeuble connu et désigné comme étant le lot numéro 1 005 090 du cadastre du Québec, d'une superficie de 11 470 pieds carrés, situé au 7050 rue Jarry Est, dans l'arrondissement d'Anjou, à des fins de sports, culture et loisirs, pour un montant de 1 000 000 $, plus les taxes applicables.. N/Réf. : 31H12-005-3368-01 Mandat : 22-0259-T.","1 000 000,00 $",Anjou,CA23 12031,27911941,
"Demande d'intervention, de permission et d'autorisation d'effectuer des travaux",9346-5508 Québec Inc. Et Ministère Des Transports Du Québec,"Approuver un projet d’entente tripartite entre la Ville, la Société 9346-5508 QUÉBEC INC et le ministère des Transports (MTQ), permettant à la Ville et à la Société 9346-5508 QUÉBEC INC de poursuivre leurs négociations et signer une promesse bilatérale visant à établir une servitude d’utilités publiques et un bail affectant une partie du lot 6 414 140 du cadastre du Québec, dans le cadre de la construction d’un collecteur pluvial et sanitaire, et ce, malgré l’imposition d’une réserve sur une partie dudit lot par le MTQ. N/Réf. : 31H12-005-4075-01 / Mandat : 22-0218-T","0,00 $",Montréal-Est,CE23 0306,non applicable,
Vente de gré à gré,Obnl Place Griffintown,"Approuver un projet d'acte par lequel la Ville vend à l'OBNL Place Griffintown, un terrain vacant, connu et désigné comme étant le lot 1 852 773 du cadastre du Québec, situé du côté ouest de la rue Barré et au nord de la rue Versailles, d'une superficie de 1 945,9 m², dans l'arrondissement Le Sud-Ouest, aux fins de construction d'un projet de logements sociaux et communautaires, pour la somme de 720 000 $ plus les taxes applicables, le cas échéant./ Fermer et retirer du domaine public le lot  1 852 773 du cadastre du Québec. N/Réf.: 31H05-005-7870-14 Dossier # 22-0195-T.","720 000,00 $",Le Sud-Ouest,CG23 0316,28135719,
Vente de terrain résiduel et de partie de ruelle selon l'encadrement,Audrey Fortier Et Daniel  J Vena,"Approuver un projet d'acte par lequel la Ville vend, aux fins d'assemblage résidentiel, à madame Audrey Fortier et monsieur Daniel J Vena, une partie de rue située à l'angle nord-ouest de la 10e Avenue et de la 16e Rue, adjacente à l'adresse 45, 16e Rue, dans l'arrondissement Pierrefonds-Roxboro, d'une superficie de 278,8 m², pour le prix de 27 190,00 $ plus les taxes applicables/ Fermer et retirer du domaine public le lot 6 526 790 du cadastre du Québec  . N/Réf.: 31H12-005-0133-02 / Mandat: 22-0157-T","27 190,00 $",Pierrefonds - Roxboro,DA234396004,28209023,
Correction de titres,9906282 Canada Inc.,"Approuver un projet d’acte par lequel la Ville renonce partiellement à la servitude de non-construction consentie en sa faveur, aux termes d’un acte intervenu entre Les Constructions Fédérales inc., Groupe Allogio inc., Faubourg Pointe-aux-Prairies inc. et la Ville, sur vingt-et-un (21) lots situés sur les rues Jules-Helbronner et Trefflé-Berthiaume, laquelle fait partie du développement résidentiel Faubourg Pointe-aux-Prairies, dans l’arrondissement de Rivière-des-Prairies – Pointe-aux-Trembles.  N/Réf. :  31H12-005-5675-01 et 31H12-005-5675-05  N/D: 22-0119-T","0,00 $",Rivière-des-Prairies - Pointe-aux-Trembles,CM23 0858,28249189,
Mainlevée,Développement Roccabella Inc.,"Approuver le projet d'acte par lequel la Ville de Montréal accorde mainlevée totale et finale, de l’inscription du droit de résolution résultant de l’acte de vente intervenu entre la Ville de Montréal et la compagnie Développement Rocabella inc. , publié au bureau de la publicité des droits de la circonscription foncière de Montréal, sous le numéro 25 269 261 relativement à un immeuble désigné par le lot 6 284 871 du cadastre du Québec,  situé à l'angle nord-est de l'avenue des Canadiens-de-Montréal et de la rue De La Montagne, dans l'arrondissement Ville-Marie. N/Réf. : 31H05-005-7969-06 (mandat 22-0114-T)","0,00 $",Ville-Marie,DA234396003,28278141,
Acquisition de gré à gré - sans bâtiment,Association des professionnels de la construction et de l’habitation du Québec,"Approuver un projet d’acte de vente par lequel la Ville de Montréal acquiert de l’Association des professionnels de la construction et de l’habitation du Québec (APCHQ), afin d’élargir le boulevard des Roseraies, un terrain vacant connu et désigné comme étant le lot 6 506 431 du cadastre du Québec, situé au 6100, boulevard des Roseraies, dans l’arrondissement d’Anjou, pour la somme de 9 750 $, plus les taxes applicables, le cas échéant. Verser au domaine public de la Ville le lot 6 506 431 du cadastre du Québec. N/Réf. : 31H12-005-3173-05","9 750,00 $",Anjou,DA226462001,28220411,
